time_tag,frequency,flux,reporting_schedule,avg_begin_date,ninety_day_mean,rec_count,record_Id,record_Id_0
,,,,,,,0,
2023-08-29T20:00:00,2800,142,Noon,2023-06-01T20:00:00,165,90,1,0
2023-08-29T17:00:00,2800,140,Morning,,,,2,0
2023-08-28T22:00:00,2800,142,Afternoon,,,,3,0
2023-08-28T20:00:00,2800,142,Noon,2023-05-31T20:00:00,165,90,4,0
2023-08-28T17:00:00,2800,142,Morning,,,,5,0
2023-08-27T22:00:00,2800,140,Afternoon,,,,6,0
2023-08-27T20:00:00,2800,142,Noon,2023-05-30T20:00:00,165,90,7,0
2023-08-27T17:00:00,2800,141,Morning,,,,8,0
2023-08-26T22:00:00,2800,141,Afternoon,,,,9,0
2023-08-26T20:00:00,2800,139,Noon,2023-05-29T20:00:00,165,90,10,0
2023-08-26T17:00:00,2800,139,Morning,,,,11,0
2023-08-25T22:00:00,2800,138,Afternoon,,,,12,0
2023-08-25T20:00:00,2800,139,Noon,2023-05-28T20:00:00,165,90,13,0
2023-08-25T17:00:00,2800,138,Morning,,,,14,0
2023-08-24T22:00:00,2800,147,Afternoon,,,,15,0
2023-08-24T20:00:00,2800,144,Noon,2023-05-27T20:00:00,166,90,16,0
2023-08-24T17:00:00,2800,144,Morning,,,,17,0
2023-08-23T22:00:00,2800,145,Afternoon,,,,18,0
2023-08-23T20:00:00,2800,147,Noon,2023-05-26T20:00:00,166,90,19,0
2023-08-23T17:00:00,2800,151,Morning,,,,20,0
2023-08-22T22:00:00,2800,165,Afternoon,,,,21,0
2023-08-22T20:00:00,2800,151,Noon,2023-05-25T20:00:00,166,90,22,0
2023-08-22T17:00:00,2800,151,Morning,,,,23,0
2023-08-21T22:00:00,2800,153,Afternoon,,,,24,0
2023-08-21T20:00:00,2800,149,Noon,2023-05-24T20:00:00,166,90,25,0
2023-08-21T17:00:00,2800,149,Morning,,,,26,0
2023-08-20T22:00:00,2800,146,Afternoon,,,,27,0
2023-08-20T20:00:00,2800,146,Noon,2023-05-23T20:00:00,166,90,28,0
2023-08-20T17:00:00,2800,145,Morning,,,,29,0
2023-08-19T22:00:00,2800,149,Afternoon,,,,30,0
2023-08-19T20:00:00,2800,151,Noon,2023-05-22T20:00:00,166,90,31,0
2023-08-19T17:00:00,2800,152,Morning,,,,32,0
2023-08-18T22:00:00,2800,149,Afternoon,,,,33,0
2023-08-18T20:00:00,2800,151,Noon,2023-05-21T20:00:00,166,90,34,0
2023-08-18T17:00:00,2800,148,Morning,,,,35,0
2023-08-17T22:00:00,2800,151,Afternoon,,,,36,0
2023-08-17T20:00:00,2800,152,Noon,2023-05-20T20:00:00,167,90,37,0
2023-08-17T17:00:00,2800,153,Morning,,,,38,0
2023-08-16T22:00:00,2800,161,Afternoon,,,,39,0
2023-08-16T20:00:00,2800,160,Noon,2023-05-19T20:00:00,167,90,40,0
2023-08-16T17:00:00,2800,161,Morning,,,,41,0
2023-08-15T22:00:00,2800,157,Afternoon,,,,42,0
2023-08-15T20:00:00,2800,158,Noon,2023-05-18T20:00:00,167,90,43,0
2023-08-15T17:00:00,2800,157,Morning,,,,44,0
2023-08-14T22:00:00,2800,154,Afternoon,,,,45,0
2023-08-14T20:00:00,2800,154,Noon,2023-05-17T20:00:00,166,90,46,0
2023-08-14T17:00:00,2800,153,Morning,,,,47,0
2023-08-13T22:00:00,2800,151,Afternoon,,,,48,0
2023-08-13T20:00:00,2800,150,Noon,2023-05-16T20:00:00,166,90,49,0
2023-08-13T17:00:00,2800,148,Morning,,,,50,0
2023-08-12T22:00:00,2800,149,Afternoon,,,,51,0
2023-08-12T20:00:00,2800,148,Noon,2023-05-15T20:00:00,166,90,52,0
2023-08-12T17:00:00,2800,146,Morning,,,,53,0
2023-08-11T22:00:00,2800,151,Afternoon,,,,54,0
2023-08-11T20:00:00,2800,153,Noon,2023-05-14T20:00:00,166,90,55,0
2023-08-11T17:00:00,2800,155,Morning,,,,56,0
2023-08-10T22:00:00,2800,158,Afternoon,,,,57,0
2023-08-10T20:00:00,2800,156,Noon,2023-05-13T20:00:00,166,90,58,0
2023-08-10T17:00:00,2800,160,Morning,,,,59,0
2023-08-09T22:00:00,2800,151,Afternoon,,,,60,0
2023-08-09T20:00:00,2800,153,Noon,2023-05-12T20:00:00,166,90,61,0
2023-08-09T17:00:00,2800,153,Morning,,,,62,0
2023-08-08T22:00:00,2800,158,Afternoon,,,,63,0
2023-08-08T20:00:00,2800,159,Noon,2023-05-11T20:00:00,166,90,64,0
2023-08-08T17:00:00,2800,157,Morning,,,,65,0
2023-08-07T22:00:00,2800,173,Afternoon,,,,66,0
2023-08-07T20:00:00,2800,170,Noon,2023-05-10T20:00:00,166,90,67,0
2023-08-07T17:00:00,2800,169,Morning,,,,68,0
2023-08-06T22:00:00,2800,169,Afternoon,,,,69,0
2023-08-06T20:00:00,2800,174,Noon,2023-05-09T20:00:00,166,90,70,0
2023-08-06T17:00:00,2800,167,Morning,,,,71,0
2023-08-05T22:00:00,2800,204,Afternoon,,,,72,0
2023-08-05T20:00:00,2800,176,Noon,2023-05-08T20:00:00,166,90,73,0
2023-08-05T17:00:00,2800,171,Morning,,,,74,0
2023-08-04T22:00:00,2800,170,Afternoon,,,,75,0
2023-08-04T20:00:00,2800,171,Noon,2023-05-07T20:00:00,166,90,76,0
2023-08-04T17:00:00,2800,166,Morning,,,,77,0
2023-08-03T22:00:00,2800,166,Afternoon,,,,78,0
2023-08-03T20:00:00,2800,163,Noon,2023-05-06T20:00:00,166,90,79,0
2023-08-03T17:00:00,2800,165,Morning,,,,80,0
2023-08-02T22:00:00,2800,168,Afternoon,,,,81,0
2023-08-02T20:00:00,2800,173,Noon,2023-05-05T20:00:00,166,90,82,0
2023-08-02T17:00:00,2800,170,Morning,,,,83,0
2023-08-01T22:00:00,2800,172,Afternoon,,,,84,0
2023-08-01T20:00:00,2800,175,Noon,2023-05-04T20:00:00,165,90,85,0
2023-08-01T17:00:00,2800,174,Morning,,,,86,0
2023-07-31T22:00:00,2800,181,Afternoon,,,,87,0
2023-07-31T20:00:00,2800,177,Noon,2023-05-03T20:00:00,165,90,88,0
2023-07-31T17:00:00,2800,177,Morning,,,,89,0
2023-07-30T22:00:00,2800,170,Afternoon,,,,90,0
2023-07-30T20:00:00,2800,174,Noon,2023-05-02T20:00:00,165,90,91,0
2023-07-30T17:00:00,2800,174,Morning,,,,92,0
2023-07-29T22:00:00,2800,177,Afternoon,,,,93,0
2023-07-29T20:00:00,2800,179,Noon,2023-05-01T20:00:00,165,90,94,0
2023-07-29T17:00:00,2800,187,Morning,,,,95,0
2023-07-28T22:00:00,2800,171,Afternoon,,,,96,0
2023-07-28T20:00:00,2800,168,Noon,2023-04-30T20:00:00,164,90,97,0
2023-07-28T17:00:00,2800,168,Morning,,,,98,0
2023-07-27T22:00:00,2800,179,Afternoon,,,,99,0
2023-07-27T20:00:00,2800,165,Noon,2023-04-29T20:00:00,164,90,100,0
2023-07-27T17:00:00,2800,165,Morning,,,,101,0
2023-07-26T22:00:00,2800,171,Afternoon,,,,102,0
2023-07-26T20:00:00,2800,167,Noon,2023-04-28T20:00:00,164,90,103,0
2023-07-26T17:00:00,2800,171,Morning,,,,104,0
2023-07-25T22:00:00,2800,169,Afternoon,,,,105,0
2023-07-25T20:00:00,2800,169,Noon,2023-04-27T20:00:00,164,90,106,0
2023-07-25T17:00:00,2800,168,Morning,,,,107,0
2023-07-24T22:00:00,2800,166,Afternoon,,,,108,0
2023-07-24T20:00:00,2800,165,Noon,2023-04-26T20:00:00,164,90,109,0
2023-07-24T17:00:00,2800,168,Morning,,,,110,0
2023-07-23T22:00:00,2800,172,Afternoon,,,,111,0
2023-07-23T20:00:00,2800,173,Noon,2023-04-25T20:00:00,163,90,112,0
2023-07-23T17:00:00,2800,175,Morning,,,,113,0
2023-07-22T22:00:00,2800,177,Afternoon,,,,114,0
2023-07-22T20:00:00,2800,174,Noon,2023-04-24T20:00:00,163,90,115,0
2023-07-22T17:00:00,2800,175,Morning,,,,116,0
2023-07-21T22:00:00,2800,176,Afternoon,,,,117,0
2023-07-21T20:00:00,2800,173,Noon,2023-04-23T20:00:00,162,90,118,0
2023-07-21T17:00:00,2800,173,Morning,,,,119,0
2023-07-20T22:00:00,2800,179,Afternoon,,,,120,0
2023-07-20T20:00:00,2800,184,Noon,2023-04-22T20:00:00,162,90,121,0
2023-07-20T17:00:00,2800,182,Morning,,,,122,0
2023-07-19T22:00:00,2800,194,Afternoon,,,,123,0
2023-07-19T20:00:00,2800,189,Noon,2023-04-21T20:00:00,162,90,124,0
2023-07-19T17:00:00,2800,193,Morning,,,,125,0
